,Id,Price,Age_08_04,Mfg_Month,Mfg_Year,KM,HP,Met_Color,Automatic,cc,Doors,Cylinders,Gears,Quarterly_Tax,Weight,Mfr_Guarantee,BOVAG_Guarantee,Guarantee_Period,ABS,Airbag_1,Airbag_2,Airco,Automatic_airco,Boardcomputer,CD_Player,Central_Lock,Powered_Windows,Power_Steering,Radio,Mistlamps,Sport_Model,Backseat_Divider,Metallic_Rim,Radio_cassette,Tow_Bar
Guarantee_Period,-0.086255647,0.146626614,-0.152562534,0.029009539,0.148218449,-0.138941822,0.076162697,0.00929454,-0.002256229,-0.017682946,0.053653901,,-0.030677543,-0.163438345,-0.012913462,-0.098563061,-0.300062902,1,-0.060839975,-0.142453113,-0.322769418,0.026246244,-0.039162519,-0.056305124,-0.003948487,0.058934226,0.040533587,-0.118973564,0.198885599,-0.118021352,-0.172873754,-0.484426852,-0.044002874,0.193910054,0.008590048
Power_Steering,-0.091586938,0.064275368,-0.069191857,-0.055495374,0.079676069,0.007396622,0.048850452,0.086543865,-0.004469112,0.032932605,0.059791778,,0.021200029,0.047956107,0.047848786,0.029771454,0.164391857,-0.118973564,0.254625594,0.561770372,0.212187253,0.096893133,0.036911721,0.087207115,0.068451698,0.129646282,0.123457779,1,0.009074786,0.07798455,0.098866017,0.265169426,0.053216558,-0.004583647,0.030452502
HP,-0.109374631,0.31498983,-0.15662202,-0.03931242,0.164696875,-0.333537948,1,0.058711703,0.013144031,0.035855803,0.092424496,,0.209477146,-0.298431717,0.089614059,0.140026308,0.022700778,0.076162697,0.057831812,0.02513692,0.017643556,0.241134272,0.244957362,0.129714741,0.102299878,0.25012219,0.265593485,0.048850452,0.020998138,0.210571265,-0.00602665,0.010907977,0.206784157,0.0199192,0.068271274
cc,-0.1177043,0.126389197,-0.098083739,0.037386567,0.091891919,0.102682891,0.035855803,0.031812068,0.066740309,1,0.079903296,,0.014629352,0.306995798,0.335637399,-0.057406568,-0.081725093,-0.017682946,0.037805595,0.022678078,0.024738401,0.119888052,0.162668829,0.009311914,0.057786831,0.072634435,0.055298875,0.032932605,-0.000361089,0.017326122,-0.035195167,-0.055710827,0.00323562,-0.000469534,0.002724607
Airbag_1,-0.12346505,0.093587871,-0.105405927,0.00375616,0.105359191,-0.018012148,0.02513692,0.100054833,-0.011895357,0.022678078,0.053827968,,0.002443573,0.082340476,0.030181762,0.052089164,0.224478877,-0.142453113,0.277506541,1,0.280317621,0.093835634,0.042439096,0.112165351,0.071828045,0.120275681,0.121641091,0.561770372,-0.010034594,0.092618058,0.113670786,0.307947255,0.057344702,-0.022116573,0.052311749
Doors,-0.130206564,0.18532555,-0.148359215,-0.012068863,0.151441979,-0.036196614,0.092424496,0.085242826,-0.027653817,0.079903296,1,,-0.16014143,0.109363225,0.302617644,0.037689328,-0.014311384,0.053653901,0.063732629,0.053827968,0.021733788,0.170543978,0.054808873,0.089606069,0.094652527,0.13209158,0.107625618,0.059791778,-0.008318074,0.064704827,-0.129880567,-0.022541861,-0.039554785,-0.008265241,0.102291795
Backseat_Divider,-0.136397564,0.102569147,-0.116751059,0.023245436,0.113237026,-0.045657583,0.010907977,0.037741041,-0.018876271,-0.055710827,-0.022541861,,0.076705131,0.19841873,0.036446167,0.256249254,0.457468081,-0.484426852,0.256658791,0.307947255,0.589987432,0.105148873,0.018756318,0.287614926,0.14880586,0.05844882,0.078243752,0.265169426,-0.209589826,0.245463234,0.357713236,1,0.104862323,-0.206389869,-0.049175675
Mistlamps,-0.139707512,0.222082519,-0.126894569,-0.033503771,0.133736662,-0.074326655,0.210571265,0.023821349,0.003077421,0.017326122,0.064704827,,0.238788846,0.024024007,0.135235745,0.083957782,0.117472133,-0.118021352,0.179432532,0.092618058,0.228843121,0.466750824,0.312140517,0.147900225,0.124589102,0.487425901,0.496696773,0.07798455,-0.126118425,1,0.004341734,0.245463234,0.412545427,-0.134245424,-0.069478951
Mfr_Guarantee,-0.162005655,0.197801991,-0.164658304,-0.005770789,0.166696657,-0.212850802,0.140026308,0.154849992,0.026193798,-0.057406568,0.037689328,,0.010822444,-0.022150154,-0.008564636,1,0.233458589,-0.098563061,0.118996262,0.052089164,0.202394935,0.051233618,0.072634969,0.198185513,0.155637001,0.039915427,0.041550927,0.029771454,-0.052057575,0.083957782,0.054129415,0.256249254,0.026727922,-0.054532147,-0.023328109
Powered_Windows,-0.236722697,0.356518226,-0.283855826,0.02518455,0.2809962,-0.156241578,0.265593485,0.145147102,-0.005863832,0.055298875,0.107625618,,0.131423084,0.003826656,0.213356016,0.041550927,-0.012405873,0.040533587,0.09946502,0.121641091,0.049129417,0.543981749,0.203686907,0.213327478,0.195385975,0.875552474,1,0.123457779,-0.03581118,0.496696773,-0.000650453,0.078243752,0.291419414,-0.037625504,-0.01325151
Central_Lock,-0.238939975,0.343457572,-0.279630639,0.010055129,0.279490247,-0.125177013,0.25012219,0.153307153,-0.002501825,0.072634435,0.13209158,,0.126963598,0.032084382,0.23464422,0.039915427,-0.023008433,0.058934226,0.099454144,0.120275681,0.02481919,0.540588387,0.195790059,0.20312594,0.194075729,1,0.875552474,0.129646282,-0.011250967,0.487425901,-0.003127897,0.05844882,0.281333815,-0.016954462,-0.007727796
Quarterly_Tax,-0.240821028,0.219196911,-0.198430508,0.031372634,0.193933911,0.278164697,-0.298431717,0.011325559,-0.055370791,0.306995798,0.109363225,,-0.005451955,1,0.626133733,-0.022150154,0.094330856,-0.163438345,0.080287748,0.082340476,0.200172594,0.118225262,0.123125182,0.141534096,0.090868341,0.032084382,0.003826656,0.047956107,-0.03181626,0.024024007,0.06752519,0.19841873,-0.011964548,-0.031008861,-0.004987518
Automatic_airco,-0.327468122,0.588261995,-0.426259145,-0.049017448,0.437718185,-0.258221494,0.244957362,0.027977182,0.059056613,0.162668829,0.054808873,,0.077791331,0.123125182,0.430478501,0.072634969,-0.015188469,-0.039162519,0.117116703,0.042439096,0.090702625,0.24044391,1,0.272415221,0.250395774,0.195790059,0.203686907,0.036911721,-0.092647378,0.312140517,0.215287351,0.018756318,0.10036278,-0.092348095,-0.117966859
Airbag_2,-0.358316465,0.248973897,-0.329017479,0.076749474,0.317075233,-0.139275138,0.017643556,0.03841573,0.001171485,0.024738401,0.021733788,,0.095209774,0.200172594,0.078494306,0.202394935,0.287030993,-0.322769418,0.661765511,0.280317621,1,0.184626833,0.090702625,0.376245473,0.237238682,0.02481919,0.049129417,0.212187253,-0.223663172,0.228843121,0.300273543,0.589987432,0.075127819,-0.220917181,-0.063955554
Airco,-0.386206556,0.42925943,-0.403600048,0.057088375,0.395673667,-0.133056812,0.241134272,0.114190482,-0.028352763,0.119888052,0.170543978,,0.145489368,0.118225262,0.310061953,0.051233618,0.005708771,0.026246244,0.226094835,0.093835634,0.184626833,1,0.24044391,0.293244206,0.257386977,0.540588387,0.543981749,0.096893133,-0.030571064,0.466750824,0.002730262,0.105148873,0.233166104,-0.03652359,-0.024361999
Weight,-0.414500369,0.581197589,-0.470253184,-0.002167494,0.47347793,-0.028598457,0.089614059,0.057928835,0.05724851,0.335637399,0.302617644,,0.020613284,0.626133733,1,-0.008564636,-0.056076982,-0.012913462,0.102615574,0.030181762,0.078494306,0.310061953,0.430478501,0.274324106,0.247056066,0.23464422,0.213356016,0.047848786,-0.038407372,0.135235745,0.12597389,0.036446167,0.053846741,-0.03726538,-0.074931667
ABS,-0.46143694,0.306137837,-0.412887311,0.072532362,0.40221511,-0.177203384,0.057831812,0.022297508,-0.016128172,0.037805595,0.063732629,,0.086234835,0.080287748,0.102615574,0.118996262,0.134441245,-0.060839975,1,0.277506541,0.661765511,0.226094835,0.117116703,0.309536193,0.192865924,0.099454144,0.09946502,0.254625594,-0.054669867,0.179432532,0.200596032,0.256658791,0.079151858,-0.055724076,-0.065976495
CD_Player,-0.464519771,0.481374438,-0.510895187,-0.016735694,0.517007513,-0.266826156,0.102299878,0.198219962,-0.010967021,0.057786831,0.094652527,,-0.047466045,0.090868341,0.247056066,0.155637001,0.059487871,-0.003948487,0.192865924,0.071828045,0.237238682,0.257386977,0.250395774,0.489725163,1,0.194075729,0.195385975,0.068451698,-0.185567721,0.124589102,0.057919508,0.14880586,0.044730248,-0.189668131,-0.079910736
Boardcomputer,-0.695206661,0.601291957,-0.71944871,0.017714587,0.720567067,-0.353862248,0.129714741,0.089885891,-0.037068561,0.009311914,0.089606069,,-0.025889315,0.141534096,0.274324106,0.198185513,0.115804372,-0.056305124,0.309536193,0.112165351,0.376245473,0.293244206,0.272415221,1,0.489725163,0.20312594,0.213327478,0.087207115,-0.129093606,0.147900225,0.036801852,0.287614926,-0.024998752,-0.128073275,-0.128001147
Price,-0.738250029,1,-0.876590497,-0.018138222,0.88515922,-0.569960165,0.31498983,0.108904755,0.033080694,0.126389197,0.18532555,,0.063103857,0.219196911,0.581197589,0.197801991,0.028133044,0.146626614,0.306137837,0.093587871,0.248973897,0.42925943,0.588261995,0.601291957,0.481374438,0.343457572,0.356518226,0.064275368,-0.041887352,0.222082519,0.164120962,0.102569147,0.108563982,-0.043178988,-0.172368602
Mfg_Year,-0.919523233,0.88515922,-0.983661157,-0.057415518,1,-0.50497445,0.164696875,0.103310169,-0.033566969,0.091891919,0.151441979,,0.007766049,0.193933911,0.47347793,0.166696657,-0.006205542,0.148218449,0.40221511,0.105359191,0.317075233,0.395673667,0.437718185,0.720567067,0.517007513,0.279490247,0.2809962,0.079676069,-0.019607369,0.133736662,0.102079961,0.113237026,0.036022122,-0.018844434,-0.182205679
Cylinders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,r2,r2_adj,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,age,65.7,65.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"age,weight",98,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"age,weight,km",98.4,98.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"age,weight,km,hp",98.6,98.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"age,weight,km,hp,quaterly_tax",98.6,98.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"age,weight,km,hp,quaterly_tax,Doors",98.6,98.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"age,weight,km,hp,quaterly_tax,Doors,cc",98.6,98.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"age,weight,km,hp,quaterly_tax,Doors,cc,Gears",98.6,98.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
